,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
0,(t&7)|(((t>>10)>>1)|(((t*7)-5)&4)),117.1875,483.2233755354174,355.25879907193246,1079.720744680851,1128.0370035780445,6.233377659574468e-06,5.4815932339897455e-05,0.00019699156109709293,0.0013631212059408426,923.4176265130995,27.93122732585669,28.51520821351725,5,6,3,8,2,5,3,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,22.3688198152759
1,((((t-4)*6)>>6)>>(t&9))^(((t%5)>>8)-((t&3)&-1)),85.22727272727273,1374.9981873440468,203.46157589093684,2487.865691489362,382.136692167587,0.2509578623670213,0.025263615037212903,0.0035044464748352766,0.003523217746987939,1123.2291106663474,22.807692175181675,8.839607051041556,5,8,4,11,3,5,2,0,0,0,1,0,0,0,0,0,3,1,2,1,1,0,3,0,0,13.423249686222519
2,(t%9)+(((t&10)%8)*(t/15)),0.0,1999.9965385259193,0.0314069708366733,2008.4275265957447,47.42527634292447,0.49671916555851064,0.022938926148425413,4.76610402984079e-05,0.00045073783257976174,13.717115182069543,31.199149986445914,31.174314183441844,4,4,3,6,1,10,3,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,5.678791666423845
3,((t&2)>>0)>>(((t-0)*(t|(t*1)))>>(t^1)),187.5,821.1601322222001,5.812332011303671,2061.6356382978724,11.35715859657637,0.00728266289893617,0.0003464372506759697,0.00017893078620545566,0.0015098467702046037,1050.061155265512,86.3503788502992,10.748138916013525,5,5,5,9,3,0,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,1,0,0,6.016288890052595
4,t|(t-(t&(t^7))),85.22727272727273,1913.5269237871785,43.53523903091887,3635.2892287234044,228.1294014137557,0.46615068151595745,0.039840284586279126,0.004426440689712763,0.0061235916800796986,1253.2075225545736,35.228734484872845,19.97802232063868,4,1,4,4,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,6.741427589725989
