,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
4,(t%10)+(((t&14)%6)*(t/16)),117.1875,2272.957214371695,428.6835431805759,3811.0372340425533,364.28079421581333,0.4751703789893617,0.24370455942605573,0.002372215734794736,0.004271762445569038,1414.0622932085862,43.2915993386484,22.073413063960075,4,4,3,6,1,11,4,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,29.098278477032792
0,(t%11)+(((t&13)%12)*(t/13)),14.6484375,1313.2478704602847,74.43514101818813,2632.0478723404253,217.18023444251932,0.12381358045212766,0.005734731537106353,9.004543244373053e-05,0.0008584469906054437,1025.0293975604134,75.81634791590831,32.28585154269827,4,4,3,6,0,12,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,7.84673215942979
1,(t%12)+(((t&15)%4)*(t/16)),72.11538461538461,1983.18251652197,167.4316466535953,3576.5791223404253,75.10545856136174,0.49707862367021277,0.1217166916439876,0.0578562393784523,0.010684579610824585,1378.3078815324307,20.712823189900966,4.944079464787391,4,4,3,6,2,11,5,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,11.567646143935757
2,((t^2)&8)|(((t>>9)>>6)|(((t*7)-8)&6)),0.0,11.8548889325579,114.91536077174285,35.172872340425535,337.5172563709878,3.740026595744681e-05,0.00032889559403938463,1.7109845430240966e-05,0.0002144791797036305,15.08935935603821,35.6740604348821,31.927482201966264,5,7,3,9,3,6,2,0,0,0,0,0,1,0,0,0,2,1,2,1,0,2,1,0,0,9.234841394146496
3,((((t-4)*7)>>5)>>((t&7)&6))^(((t%5)>>4)-((t&6)&1)),117.1875,1592.695433691944,119.28427897013371,3267.802526595745,319.1036777736188,0.496962267287234,0.022856447756425598,0.03651884198188782,0.005281239282339811,1288.4962474188537,14.297237387004097,6.018448226366402,5,9,4,12,3,5,1,0,0,0,1,0,0,0,0,0,3,1,4,1,1,0,2,0,0,9.446620768993611
4,(1>>0)>>((t*(t|(t*1)))>>(t^1)),104.16666666666667,1335.4153582016238,146.23804540743063,2671.293218085106,266.13927980421033,0.2521692154255319,0.0786249661867531,0.011406068690121174,0.006883606314659119,1011.288206060754,15.673612545243145,9.878029879353285,5,4,4,7,3,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,10.418108091040367
5,t>>(t-(t&(t^3))),117.1875,1886.63784283155,234.1887711700979,3606.815159574468,317.9485820966786,0.49493226396276596,0.15297061060262737,0.013713681139051914,0.007479406427592039,1290.7966392208991,20.462818864189444,7.879829509700442,4,1,4,4,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,14.492090747192188
