,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
0,t>>(t-(t&(t^6))),0.0,1669.043596450866,47.34642876952944,3492.220744680851,103.29686746284679,0.12381358045212766,0.005734731537106353,4.437581810634583e-05,0.00041861727368086576,1348.5539132069782,62.19327703665439,37.122626598694566,4,1,4,4,0,6,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,7.066272736931391
1,((t&4)>>2)>>((t*(t|(t*2)))>>(t^3)),117.1875,1184.4147254993318,19.89791131625796,2544.4481382978724,21.910136367818563,0.13031291555851063,0.007291153186996424,0.0313967727124691,0.0016756398836150765,1055.4829050654334,23.145810795873576,3.6258521632026555,5,4,5,8,3,2,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,6.3619002695345035
2,(t%10)+(((t&12)%13)*(t/15)),0.0,1582.9962849302672,21.774616227427284,2999.966755319149,0.3588270137121493,0.24811544215425532,0.011469463074212706,4.816915316041559e-05,0.00045429146848618984,910.8554396706552,44.97565844731329,36.955920573824066,4,4,3,6,0,12,2,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,6.3773048172817495
3,(t&9)|(((t>>10)>>6)|(((t*6)-9)&3)),117.1875,1319.0189492025738,78.06736441379037,2657.6961436170213,96.61673851611502,0.24783909574468085,0.05271533904992688,0.020586010068655014,0.012195953167974949,1002.3073447341285,21.08759871520022,11.031454453362327,5,6,3,8,0,7,2,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,8.102910425931684
4,((((t-6)*11)>>6)>>(t&6))^(((t%3)>>2)-((t&0)&2)),156.25,1326.7953826261046,166.76304465804648,2660.0565159574467,313.3542437074434,0.2477289727393617,0.08453890577178844,0.008301406167447567,0.006356269586831331,1015.3807013280938,15.695901928031011,10.10104042325946,5,8,4,11,2,4,3,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,11.288282450931638
