,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
0,(t%8)+(((t&14)%10)*(t/14)),156.25,1432.7043615138455,9.679198391273944,3030.751329787234,24.249254517226714,0.053895861037234045,0.0024965297916788513,0.0003749858879018575,0.0033068654593080282,1183.3590406297974,88.80618983127577,12.755269287440294,4,4,3,6,1,11,3,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,6.111231574972775
1,(t&8)|(((t>>9)>>6)|(((t*7)-8)&(t*7))),187.5,1403.8004555571765,62.846569172183266,2568.0851063829787,41.369375492574186,0.2507147606382979,0.018362271594322195,0.038237251341342926,0.003289064858108759,1053.6891630059317,20.69831622034154,5.5179488225410065,5,6,4,9,2,7,1,0,0,0,0,0,1,0,0,0,2,2,2,0,0,2,1,0,0,7.711409610279689
2,((((t-2)*5)>>4)>>(t&5))^(((t%7)>>6)-((t&4)&1)),187.5,816.0330286821442,5.59023343024858,2034.624335106383,9.834836367376735,0.00728266289893617,0.0003464372506759697,0.0001772202376741916,0.0014964129077270627,1043.1188722930542,86.27438846832989,10.762719837324648,5,8,4,11,4,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,6.011615478038438
3,((t&-2)>>0)>>((t*(t|(t*4)))>>(t^1)),0.0,8.684400919287015,80.51169676016225,24.90026595744681,229.41859309851992,2.493351063829787e-05,0.00021926372935958982,1.735678961267695e-05,0.00021777035726699978,12.199976697745115,36.61726239089858,31.915023889562022,5,4,5,8,3,1,1,1,0,0,0,0,0,0,0,0,3,2,0,1,0,1,1,0,0,8.061430539426386
4,t>>(t-(t&6)),58.59375,1639.4302518417628,273.8100299562218,3388.2646276595747,384.99552224201767,0.49995636635638296,0.18353524508021,0.017491163685917854,0.00643035676330328,1359.941716428173,15.668593726510995,8.476744147324128,3,1,3,3,0,6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,16.557890916225755
