,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
0,(t&8)|(((t>>9)>>6)|(((t*7)%8)&6)),14.6484375,1313.2478704602847,74.43514101818813,2632.0478723404253,217.18023444251932,0.12381358045212766,0.005734731537106353,9.004543244373053e-05,0.0008584469906054437,1025.0293975604134,75.81634791590831,32.28585154269827,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,1,2,0,0,0,7.84673215942979
1,((((t-7)*8)>>4)>>(t&6))^(((t%5)>>4)-((t&3)&-1)),0.0,1314.848478058232,12.834764505632638,2500.0498670212764,0.5675987725719371,0.24860372340425532,0.011469463074212706,6.109638343332335e-05,0.0005801160586997867,1168.975168361374,65.6696911170355,30.894612629805767,5,8,4,11,4,4,2,0,0,0,1,0,0,0,0,0,3,1,2,1,1,0,3,0,0,6.120523490237499
2,((t&2)>>0)>>((t*(t|((t&0)*1)))>>(t^1)),0.0,1999.9965385259193,0.0314069708366733,2008.4275265957447,47.42527634292447,0.49671916555851064,0.022938926148425413,4.76610402984079e-05,0.00045073783257976174,13.717115182069543,31.199149986445914,31.174314183441844,6,5,5,9,3,0,0,1,0,0,0,0,0,0,0,0,3,2,2,1,0,1,0,0,0,5.678791666423845
3,t>>(t-(t&((t&4)^7))),0.0,8.465161352391759,78.16061921651362,21.17686170212766,187.2621659014883,1.2466755319148936e-05,0.00010963186467979491,1.7220496374648064e-05,0.00021663201914634556,11.412773076297496,37.09412779371678,31.962326599989627,5,2,4,5,1,5,2,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,8.035618118990428
4,(t%10)+(((t&11)%10)*(t&13)),117.1875,2136.2022178054667,213.12397353312625,3509.807180851064,263.8092472875419,0.4982463430851064,0.06673206733773338,0.025567645207047462,0.017737824469804764,1167.1666939550576,24.04661562918304,17.629850325777085,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,0,14.246379858464136
