,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
0,(t&6)|(((t>>13)>>3)|(((t*12)-6)&2)),187.5,1316.7790129928358,13.815948369783488,2999.933510638298,0.6206168451660395,0.24811544215425532,0.011469463074212706,4.5890828914707527e-05,0.00041462283115834,1019.1935068876182,64.40352734696526,37.99034032861694,5,6,3,8,1,7,4,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,6.2018983011602895
1,((t&2)>>0)>>(((t&5)*(t|(t*1)))>>(t^1)),187.5,1976.4876885780916,170.7749043711794,3586.003989361702,66.76750333835408,0.49696018949468085,0.10879774750715583,0.04785972833633423,0.0045082177966833115,1394.2585754213449,21.420658670163437,4.348363171867232,5,5,5,9,3,1,1,1,0,0,0,0,0,0,0,0,3,2,2,1,0,1,0,0,0,11.79200852080265
2,((((t-4)*7)>>5)>>(t&6))^(((t%5)-4)-((t&6)&1)),0.0,1999.9964338668815,0.032451892651154,2006.25,20.736421313307144,0.49671916555851064,0.022938926148425413,4.7367069782922044e-05,0.0004487066180445254,11.20075485378354,36.80534199586002,31.29705282690739,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,2,1,3,1,1,0,3,0,0,5.706050046606337
3,t>>(t-(t&(t^8))),187.5,968.7208389373719,25.587796975153676,2452.6097074468084,13.413353292771344,0.06194315159574468,0.0027786822516065175,0.00020311737898737192,0.0013711402425542474,1068.9076282162994,70.70421796709871,11.106918324369014,4,1,4,4,1,8,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,6.577367160339907
4,(t%8)+(((t&13)%12)*(t/12)),104.16666666666667,1907.4895331643816,35.68385215347948,3260.9873670212764,54.99519353830926,0.4482027094414894,0.02628269883413844,0.06599951535463333,0.034919846802949905,1166.5585217550636,20.408237798657336,5.145439798935455,4,4,3,6,1,11,2,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,7.083566734478048
