,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
0,((((t-4)*7)>>5)>>((t+2)&6))^(((t%5)>>4)-((t&6)&1)),0.0,1437.2432957819974,20.303059774906075,2503.507313829787,11.94525378399349,0.12381358045212766,0.005734731537106353,0.00010957716585835442,0.0010333574609830976,983.229883817984,63.12665510185693,37.80719042159747,5,9,4,12,4,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,1,0,6.3490584247507895
1,(t%10)+(((t&11)%10)*(t/15)),62.5,1960.9964553562434,160.61967155025152,3509.375,101.28542401395262,0.49546833444148936,0.12700111079672793,0.047141049057245255,0.010014032013714314,1258.441351298152,20.985185698060704,4.673958542496653,4,4,3,6,0,11,2,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,11.129293969372885
2,(t&8)|((((t>>7)>>9)>>6)|(((t*7)-8)&6)),0.0,1999.9965385259193,0.0314069708366733,2008.4275265957447,47.42527634292447,0.49671916555851064,0.022938926148425413,4.76610402984079e-05,0.00045073783257976174,13.717115182069543,31.199149986445914,31.174314183441844,5,7,3,9,2,7,1,0,0,0,0,0,1,0,0,0,3,1,2,0,0,2,1,0,0,5.678791666423845
3,t>>(t-(t>>(t^7))),0.0,10.597876357054675,101.55601885949417,28.30784574468085,263.61583761136467,1.2466755319148936e-05,0.00010963186467979491,1.706452530925162e-05,0.0002133774250978604,13.024380792087168,42.9503717832753,31.99936729688299,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,8.811539461030367
4,((t&2)>>0)>>((t*(t&(t*1)))>>(t^1)),104.16666666666667,1338.8679495735896,144.96602807003129,2672.7061170212764,268.60245576161896,0.2522273936170213,0.07858856876853923,0.011618617922067642,0.00681880209594965,1012.3099553138996,15.525493138835646,9.788081650169204,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,10.354651149544337
