,expression,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/,fitness
52,(t&8)|(((t>>9)>>6)|(((t*7)-8)&6)),117.1875,1448.6027343870655,491.03939450069413,2978.507313829787,730.6322772560418,0.27181474401595745,0.24676669312981345,0.0002034369099419564,0.001661046757362783,1250.649416925015,43.187574082506295,14.48445334237161,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,0,0,34.07961980457756
55,(t%10)+(((t&11)%10)*(t/13)),93.75,1998.6760302393327,355.06492744292973,3271.293218085106,369.82804756221486,0.511284491356383,0.28970040343793657,0.211790069937706,0.05092935264110565,1102.4423107416428,14.919599473293724,3.6179787881746446,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,23.05001943177231
66,((t&2)>>0)>>((t*(t|(t*1)))>>(t^1)),234.375,1512.0693081682346,459.4208112139377,3056.715425531915,663.0518094796769,0.2252202460106383,0.23821543744951723,0.006451031193137169,0.014703900553286076,1267.5855483660132,28.22305755428109,7.204253292976,5,4,5,8,3,1,0,1,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,31.674120157185992
70,t>>(t-(t&(t^7))),187.5,1694.7010592417628,350.70682292075344,3227.4767287234044,337.2065311626494,0.2381815159574468,0.23482223844390146,0.2097831815481186,0.20199377834796906,1235.911688167849,15.562591792594061,6.232735502757685,4,1,4,4,0,7,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,28.444095957074918
74,((((t-4)*7)>>5)>>(t&6))^(((t%5)>>4)-((t&6)&1)),58.59375,1979.8751982231372,370.4311917230492,3262.150930851064,342.06732019080374,0.48916015625,0.2800505030517757,0.26030871272087097,0.052437737584114075,1097.7378638977984,14.861463597358512,3.4299855387122795,5,8,4,11,3,4,1,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,24.647259301312314
0,((t&2)>>0)>>((t*(t|1))>>(t^1)),29.296875,462.3106544784273,212.61376099480637,1091.3231382978724,624.134066725943,0.00012258976063829786,0.0002117310372815325,0.0005428593722172081,0.0011892379261553288,857.3502101581023,52.91402749123486,17.9061817847499,4,4,4,7,3,1,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,1,0,0,0,13.521762468312195
1,t>>(t-(t&(t^10))),234.375,1973.286827867689,169.64164285475616,3497.905585106383,129.7936098989538,0.4971991356382979,0.10813726463542471,0.17441533505916595,0.021231237798929214,1230.195031501552,18.629975983585393,2.7118433695852504,4,1,4,4,0,10,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,11.936203876111428
2,(t&8)|(((t-9)>>6)|(((t*7)-8)&6)),0.0,1999.9965385259193,0.0314069708366733,2008.4275265957447,47.42527634292447,0.49671916555851064,0.022938926148425413,4.76610402984079e-05,0.00045073783257976174,13.717115182069543,31.199149986445914,31.174314183441844,5,6,3,8,2,7,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,2,2,0,0,5.678791666423845
3,((((t-3)*5)>>4)>>(t&9))^(((t%8)>>6)-((t&8)&3)),117.1875,1297.8616440060077,64.71542526302393,2442.6695478723404,18.1678759019576,0.2399601063829787,0.09212901852714984,0.017321569845080376,0.013795793056488037,1004.4526636347815,26.2595967996799,10.598756311874672,5,8,4,11,3,5,2,0,0,0,1,0,0,0,0,0,3,1,3,1,1,0,2,0,0,7.571181507720956
4,(t%10)+(((t^11)%10)*(t/13)),72.11538461538461,1509.5841360557972,276.0778147782685,3430.668218085106,373.60165189221533,0.33355427194148934,0.14527240153259224,0.015330999158322811,0.006913017015904188,1412.5560475950972,18.412533597274308,7.4374364260331465,4,4,3,6,0,11,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,1,17.11310602680335
